segment_1|unused|Олон жилийн хойно хурандаа Аурелиано Буэндиа гэгчийн бие Макондогийн оршуулгы газрын хайсны дэргэд буудуулах гэж зогсохдоо, тэр жилийн нэгэн үдэш мөс үзүүлэхээр цыганууд дээр эцгийнхээ дагуулж очсоныг санаж авай.
segment_2|unused|Тэгэхэд Макондо хулс, шавраар барьсан хориод навтгар овоохой бүхий жижигхэн суурин байж, хаяагаар нь галавын үеийн амьтны өндөг шиг асар том мөлгөр цагаан чулуун дундуур тунгалаг уст гол мяралзанхан урсдаг байлаа.
segment_3|unused|Ертөнц шинэхэн учир олон юмс нэр усгүй, тэдгээрийг дурдах болбол хуруугаараа заан ярилцдаг байвай.
segment_4|unused|Жил бүрийн гуравдугаар сард суурины захад ноорхой цыганы нэгэн овог асар майхнааа шаан бууж, шүглийн шийхнэх, бөмбөрийн пижгэнэх дуунаа эрдэмт хүмүүсийн сүүлийн үеийн бүтээлийг макондогийнхонд үзүүлдэг байлаа.
segment_5|unused|Эхлээд цыган нар соронзон гүр авчрав.
segment_6|unused|Мельикадес гэдэг бавгар сахалтай, шувууны савар шиг мойног хуруутай лүглэгэр цыган Мекедоны рилү бүтээгчдийн бүтээсэн, ертөнцийн найм дахь гайхамшиг гэж өөрийн нэрлэсэн зүйлийн идийг олонд чадал заан үзүүлэв.
segment_7|unused|Тэрвээр хоёр төмөр саваа барьж, айл айлаар ороход төмпөн хувин, хайч, хоовон байрнаасаа ховх хонх үсэрч, хадаас шураг хүчтэй татахын аяыг даахгүй цуурч байгаа банзнаас суга суга үсрэх гэж тэмүүлэн байхыг улс хиртхийн үзжээ.
segment_8|unused|Олдохоосоо огт өнгөрсөн гэж байсан юмс яг эрээд ядчихсан тэр газраас нь гарч Мелькиадесийн шидэт савааны араас хуйлран дагана.
segment_9|unused|Тэр цыган испани хэлээр их л хазгай муруй дуудаж, “Эд бараа гэдэг бас амьтай байдаг юм. Гагцхүү тэр юмсыг сэтгэлийг хөдөлгөж чадах хэрэгтэй” хэмээн сүртэй гэгч өгүүлнэ.
segment_10|unused|Суут байгаль эхийн бүтээн чадахыг сэтгэлдээ төсөөлөхөөр үл барам түүнээс ч хол давж, ид шид, илбэ жилбийн гайхамшгаас хэтийдсэн юмыг ч төсөөлөн сэтгэж улмаар ургуулан бодох үзэмжийн чадвартай Хосе Аркадио Буэндиа, хараахан ашиг тусаа өгөөгүй байгаа шинжлэх ухааны тэр нээлтийг газрын хэвлээс алт гаргаж авахад зохицуулж болно хэмээн боджээ.
segment_11|unused|Мелькиадес шударга хүн байсан болохоор “Соронзон тийм юманд хэрэг болохгүй” гэж сануулан хэлсэн боловч тэр үед Хосе Аркадио Буэндиа цыганы голч чигчид итгэлдэггүй байсан учир соронзон савааг луус, хэдэн ишгээрээ арилжин авлаа.
segment_12|unused|Буэндиагийн авааль гэргий Урсула Игуаран энэ хэдэн малаараа ар гэрийнхээ уначихсан ажлыг өөд татах гэсэндээ тэр арилжааг бүү хийтүгэй хэмээн хориглож ядсан болоч эр нөхөр нь “Удахгүй чамайг алтаар дараад өгнө. Хийх саваа л мэдээрэй” гэж хариулжээ.
segment_13|unused|Хэдэн сар хэлсэн амандаа хүрэх гэж зүтгэн, хоёр төмөр саваагаа араасаа чирэн, Мелькаидесийн зааж өгсөн тарнийг чанга дуугаар урин урьж, хавийн газар, тэр ч байтугай голын ёроолыг хүртэл нэ нэгэнгүй самнаж үзвэй.
segment_14|unused|Гэвч түүний газар дээр гаргаж ирсэн юм гэвэл арван тавдугаар зууны зэвэнд идэгдсэн битүү хуяг байлаа.
segment_15|unused|Тэр хуягийг цохиход чулуу дүүргэсэн гуа адил дүнгэнэх ажээ.
