data/audio_segments/segment_142.wav|Урсула энэ ажлаа дуусгахад нь саад хийсэнгүй.
data/audio_segments/segment_170.wav|Энэ бол гэм биш, зан байлаа.
data/audio_segments/segment_127.wav|Энэ далай тоо томшгүй зовлон зүдгүүртэй тулгаран хайх үед нь олдоогүй өмнө нь давтагдашгүй саад болон хөндөлссөнд ороо бусгаа хувь заяа өөрөөр нь даажигнан тоглож байна гэж боджээ.
data/audio_segments/segment_10.wav|Суут байгаль эхийн бүтээн чадахыг сэтгэлдээ төсөөлөхөөр үл барам түүнээс ч хол давж, ид шид, илбэ жилбийн гайхамшгаас хэтийдсэн юмыг ч төсөөлөн сэтгэж улмаар ургуулан бодох үзэмжийн чадвартай Хосе Аркадио Буэндиа, хараахан ашиг тусаа өгөөгүй байгаа шинжлэх ухааны тэр нээлтийг газрын хэвлээс алт гаргаж авахад зохицуулж болно хэмээн боджээ.
data/audio_segments/segment_19.wav|Яндан дуранг асрын дэргэд зоогоод гудамжны цаад өнцөгт цыган эмэгтэйг суулган таван реалын хөлстэйгөөр дурангаар харуулахад цыган хүүхэн гараар илээд авахаар ойрхон харагджээ.
data/audio_segments/segment_73.wav|Ахин нэрж долоон гаригийн нэр бүхий төмөрлөгтэй холин дахин хайлуулж, гермесийн мөнгөн ус, байвангаар боловсруулж, цагаан луувангийн тос байгаагүйн учир гахайн өөхөнд дахин буцалгах зэргээр их зоригтойгоор аз үзэн ноцолдсоны эцст, Урсулагийн үнэт өв тогооны ёроолд барьцалдан наалдсан шимэлдгэрхүү юм болчихов.
data/audio_segments/segment_50.wav|Тэрээр хүн төрөлхтнийг дайрч байсан бүх гамшиг сүйрэлтэй тулгарч явсан боловч эсэн мэнд гарч байсан толгой билээ.
data/audio_segments/segment_5.wav|Эхлээд цыган нар соронзон гүр авчрав.
data/audio_segments/segment_62.wav|- Энэ чөтгөрийн үнэр байна гэж Урсулагийн хэлэхэд Мелькиадес татгалзаж,
data/audio_segments/segment_129.wav|Харин Хосе Аркадио Буэндиа дөрвөн өдөр яваад эндээс хорь орчим биеэ чилээсэнгүй.
